name,pack,chunk
!mU$ and  Aderrasi - Aimless (Spirogravity Mix)---,presets-extra,0
!mU$-- Zylot - DISCO INFERNO (un-solid floor),presets-extra,0
!mu$  + Rovastar - Twilight Tunnel (Warped Desire Mix)-,presets-extra,0
!mu$  and  Rovastar - The Shroomery (syllaciban cerbremium),presets-extra,0
!mu$  and T-miles - halflife3 (Pbag UPdatE),presets-extra,0
!mu$ + PieturP - PacMad (introducing non-educated small monster),presets-extra,0
!mu$ - Rovastar - Harlequin's Fluid Wallpaper 3,presets-extra,0
!mu$ - Zylot - DISCO INFERNO (powerball),presets-extra,0
!mu$ - and  Rovastar - The Shroomery (psilobellum),presets-extra,0
!mu$ -and Fvese - Tripping [legally insane mix],presets-extra,0
!mu$- mstress - Acoustic nerve impulses (under drug effetcs),presets-extra,0
!mu$- mstress - Acoustic nerve impulses (under drug effetcs)2,presets-extra,0
$$$ Royal - Mashup (177),butterchurnPresetsExtra,
$$$ Royal - Mashup (197),butterchurnPresets,
$$$ Royal - Mashup (220),butterchurnPresets,
$$$ Royal - Mashup (273),butterchurnPresetsExtra,
$$$ Royal - Mashup (307),butterchurnPresetsExtra,
$$$ Royal - Mashup (326),butterchurnPresetsExtra,
$$$ Royal - Mashup (337),butterchurnPresetsExtra2,
$$$ Royal - Mashup (431),butterchurnPresets,
$$$ Royal - Mashup (441),butterchurnPresetsExtra,
(Ishan)-anuera,presets-extra,0
(Ishan)-churningyourfate,presets-extra,0
(Ishan)-devilsdisconight,presets-extra,0
(Ishan)-devilsdisconight(invertedelec,presets-extra,0
(Ishan)-lifeinthedrains,presets-extra,0
(Ishan)-lifeinthedrains(pepparicarmx),presets-extra,0
(Ishan)-radicalizingmybraincells,presets-extra,0
(Ishan)-soulamplifier,presets-extra,0
(Ishan)-soulamplifier(unrealremix),presets-extra,0
---Ar()mo---spiritofeast,presets-extra,0
---Ar()mo---spiritofeastv2,presets-extra,0
---Ar()mo---triptothestreet,presets-extra,0
---ar()mo-- - Spirit Of East,presets-extra,0
---ar()mo-- - Spirit of East v2,presets-extra,0
---ar()mo-- - Trip To The Street,presets-extra,0
---ar()mo---Spirit_of_East,presets-extra,0
---ar()mo---trip to the street,presets-extra,0
--_iMuS - Rovastar - Harlequin's Fluid Wallpaper 3,presets-extra,0
000 Stahlregen &  fiShbRaiN + Optics - Raw Mash Up,presets-extra,0
000 Stahlregen & Aderrasi + XXL + Zylot - Raw Mash Up,presets-extra,0
000 Stahlregen & Bmelgrem + Chemlock + PieturP - Raw Mash Up,presets-extra,0
000 Stahlregen & Boz + Eo.S + Phat + Rovastar + Zylot - Raw Mash Up,presets-extra,0
000 Stahlregen & Eo.S + Krash + PieturP + Zylot - Raw Mash Up,presets-extra,0
000 Stahlregen & Eo.S + Phat + Pithlit + Unchained - Raw Mash Up,presets-extra,0
000 Stahlregen & Eo.S + Phat + Rovastar + Unchained - Raw Mash Up,presets-extra,0
000 Stahlregen & Hampton GER + Unchained + Zylot - Raw Mash Up,presets-extra,0
000 Stahlregen & Idiot24-7 + Illusion + Unchained - Raw Mash Up,presets-extra,0
000 Stahlregen & Phat + StudioMusic + Rovastar - Raw Mash Up,presets-extra,0
00000000000000malalol + al Telek - Matrix cubetraced demon  BDRV et  AL  rmx31 wow33final,presets-extra,0
000000000bdrv + al Eo.S._Phat + shifter + malalol - aguada snowy days of summer2 ,presets-extra,0
00000bdrv + al Eo.S._Phat + shifter + malalol - aguada snowy days of summer,presets-extra,0
00000bdrv + al Eo.S._Phat + shifter- aguada snowy days,presets-extra,0
00000teste,presets-extra,0
0000shifter+fishbrain+malalol - spills betelguesiest blender on fire + krash beatdetect,presets-extra,0
0000shifter+fishbrain+malalol - spills betelguesiest blender on fire + krash beatdetect OMG,presets-extra,0
0000shifter+fishbrain+malalol - spills betelguesiest blender on fire + krash beatdetect OMG2,presets-extra,0
00malalol_eos_phat_aderrasi_redijedi-technicolor curse of the damned one,presets-extra,0
00malalol_eos_phat_aderrasi_redijedi-technicolor curse of the damned one weepeeeeeeeee,presets-extra,0
02,presets-extra,0
04,presets-extra,0
05,presets-extra,0
07,presets-extra,0
0malalol+fishbrain+bdrv+al Aderrasi - Oraclebdrv et.AL  witchcraftRmx8000,presets-extra,0
1,presets-extra,0
106,presets-extra,0
107,presets-extra,0
108,presets-extra,0
11,butterchurnPresetsExtra2,
111malalol+bdrv + al Krash & Yin + Phat - Electric Universe of the continuum belt v2,presets-extra,0
111malalol+bdrv + al Krash & Yin + Phat - Electric Universe of the continuum belt v3,presets-extra,0
111malalol+bdrv + al krash & yin + phat - electric universe of the continuum belt v3_crazynessmix_4b,presets-extra,0
130,presets-extra,0
131,presets-extra,0
132,presets-extra,0
133,presets-extra,0
134,presets-extra,0
135,presets-extra,0
136,presets-extra,0
137,presets-extra,0
145,presets-extra,0
158,butterchurnPresetsExtra2,
180,presets-extra,0
2,presets-extra,0
27_super_goats-orbus_maximus trial,presets-extra,0
3,presets-extra,0
3.5amphetamines,presets-extra,0
303,presets-extra,0
305,presets-extra,0
306,presets-extra,0
332,presets-extra,0
333,presets-extra,0
388,presets-extra,0
389,presets-extra,0
3D - breathing,presets-extra,0
3D - convex,presets-extra,0
3D - cosmic dust,presets-extra,0
3D - cupcake,presets-extra,0
3D - luz,presets-extra,0
3D - monotone ripples,presets-extra,0
3D - quasilinear submanifolds,presets-extra,0
3D - shockwaves,presets-extra,0
3D - spirals 2,presets-extra,0
3D - starfish 2,presets-extra,0
3D - vortex,presets-extra,0
3D - warp of dali bright,presets-extra,0
3D - washboard,presets-extra,0
3Dragons&aderrasi-interdictionteachin,presets-extra,0
3Dragons&aderrasi-pretwitch,presets-extra,0
3Dragons&aderrasi-wandererwithoutacur,presets-extra,0
3Dragons&che-resubspace,presets-extra,0
3Dragons&fvese-reborn,presets-extra,0
3Dragons&fvese-trianglework(remix),presets-extra,0
3Dragons&idiot-beatfallspremix,presets-extra,0
3Dragons&mstress-uncontrolledsupernov,presets-extra,0
3Dragons&rovastar-cavelife,presets-extra,0
3Dragons&rovastar-mineexploded,presets-extra,0
3Dragons&rovastar-nerveaxon,presets-extra,0
3Dragons&rovastar-spelunking,presets-extra,0
3Dragons&rovastar-stargateremix,presets-extra,0
3Dragons&stuttler-trackeddown,presets-extra,0
3Dragons&techno-coatofflames(remix),presets-extra,0
3Dragons&unchained-dragonscience,presets-extra,0
3Dragons&unchained-whatmakesdragonsso,presets-extra,0
3Dragons&zylot-rebonix2,presets-extra,0
3Dragons&zylot-repressedmemories,presets-extra,0
3Dragons&zylot-soundblasted,presets-extra,0
3Dragons&zylot-transdimen(mybrainmix),presets-extra,0
3Dragons-dragonflydreams,presets-extra,0
3Dragons-dragonflyepic,presets-extra,0
3Dragons-shape1,presets-extra,0
3Dragons-shape2,presets-extra,0
3Dragons-shape5,presets-extra,0
3dRaGoNs & Aderrasi - Interdiction Teachings,presets-extra,0
3dRaGoNs & Aderrasi - Pretwitch,presets-extra,1
3dRaGoNs & Aderrasi - Wanderer Without A  Cure,presets-extra,1
3dRaGoNs & Aderrasi - Wanderer Without A Cure,presets-extra,1
3dRaGoNs & Che - ReSubSpace,presets-extra,1
3dRaGoNs & Fvese - Reborn,presets-extra,1
3dRaGoNs & Fvese - Triangle Work (rEmIx),presets-extra,1
3dRaGoNs & Idiot - Beatfalls Premix,presets-extra,1
3dRaGoNs & Idiot24-7 - I Broke It In P.E. (Shape Fun 3 Mix),presets-extra,1
3dRaGoNs & Idiot24-7 - I Broke It In P.E. -  Shape Fun3,presets-extra,1
3dRaGoNs & Mstress - Uncontrolled Supernova,presets-extra,1
3dRaGoNs & Rovastar - CaVe LiFe,presets-extra,1
3dRaGoNs & Rovastar - Mine Exploded,presets-extra,1
3dRaGoNs & Rovastar - Nerve Axon,presets-extra,1
3dRaGoNs & Rovastar - Spelunking,presets-extra,1
3dRaGoNs & Rovastar - StarGate rEmIx,presets-extra,1
3dRaGoNs & Stuttler - Tracked Down,presets-extra,1
3dRaGoNs & TEcHNO - Coat Of Flames (rEmIx),presets-extra,1
3dRaGoNs & Unchained - Dragon Science,presets-extra,1
3dRaGoNs & Unchained - What Makes Dragons So...,presets-extra,1
3dRaGoNs & Zylot - Rebonix 2,presets-extra,1
3dRaGoNs & Zylot - Repressed Memories,presets-extra,1
3dRaGoNs & Zylot - Sound Blasted,presets-extra,1
3dRaGoNs & Zylot - Transdimensional Portal (My Brain mIX),presets-extra,1
3dRaGoNs & Zylot - Transdimensional Portal (My Brain),presets-extra,1
3dRaGoNs - Dragonfly Dreams,presets-extra,1
3dRaGoNs - Dragonfly Epic,presets-extra,1
3dRaGoNs - Shape 1,presets-extra,1
3dRaGoNs - Shape 2,presets-extra,1
3dRaGoNs - Shape 2 zzz,presets-extra,1
3dRaGoNs - Shape 5,presets-extra,1
3dRaGoNs - shape1,presets-extra,1
3dRaGoNs - shape2,presets-extra,1
3dRaGoNs - shape5,presets-extra,1
3dRaGoNs&Idiot24-7-IBrokeItInP.E.(Sha,presets-extra,1
3dRaGoNs&Zylot-TransdimensionalPortal,presets-extra,1
"3dRaGoNs, Boz & Rovastar - Nerve Axon",presets-extra,1
"3dRaGoNs, Pinbi7 & Fvese - Reborn",presets-extra,1
3dtemplate,presets-extra,1
444,butterchurnPresetsExtra2,
5,presets-extra,1
52,presets-extra,1
53,presets-extra,1
54,presets-extra,1
55,presets-extra,1
56,presets-extra,1
57,presets-extra,1
58,presets-extra,1
6,presets-extra,1
60,presets-extra,1
62,presets-extra,1
63,presets-extra,1
64,presets-extra,1
65,presets-extra,1
66,presets-extra,1
666malalol+Aderrasi+Redi Jedi+bdrv+telek- Curse of the Ochre encoded matrix omg,presets-extra,1
666malalol+Aderrasi+Redi Jedi+bdrv+telek- Curse of the Ochre encoded matrix omgv2,presets-extra,1
666malalol+Aderrasi+Redi Jedi+bdrv+telek- Curse of the Ochre encoded matrix omgv3,presets-extra,1
67,presets-extra,1
69,presets-extra,1
7,presets-extra,1
70,presets-extra,1
71,presets-extra,1
72,presets-extra,1
73,presets-extra,1
74,presets-extra,1
77,presets-extra,1
78,presets-extra,1
79,presets-extra,1
8,presets-extra,1
80,presets-extra,1
87,presets-extra,1
89,presets-extra,1
9,presets-extra,1
90,presets-extra,1
91,presets-extra,1
93,presets-extra,1
A,presets-extra,1
A Featured Presentation -  Baked - River of Illusion Dillusion ft Eos - Flexi -  Phat n AdamFX - also Ft Yin - PhuckmeonethedancefloorFX,presets-extra,1
A Featured Presentation -  Baked - River of Illusion Dillusion ft Eos - Flexi n Geiss  -  Phat n AdamFX - also Ft Yin n Rovastar - Fracticle Speakers BlowFX A ,presets-extra,1
A Hard Man To Kill,presets-extra,1
A Matter of Taste,presets-extra,1
A Mind Less Empty,presets-extra,1
A Near Miss,presets-extra,1
A Tribute to Martin - bombyx mori - Ft Flexi - AdamFX - StahlRegen - Krash - Rovastar -  Hd in Milk T,butterchurnPresetsExtra2,
A42,presets-extra,1
AD1735~2,presets-extra,1
AD301A~1,presets-extra,1
AD301A~1 (1),presets-extra,1
AD301A~1 (2),presets-extra,1
AD301A~1 (3),presets-extra,1
ADD7C9~1,presets-extra,1
ADD7C9~2,presets-extra,1
ADDA31~1,presets-extra,1
ARemake an Recreate in HDFX - Amandio C - Small life ft AdamFX n Rozzor with NauroFx - Thru the InfectionFX,presets-extra,1
Ace of Spades,presets-extra,2
Acid Iris,presets-extra,2
Adam Eatit Mashup FX 2 martin - disco mix + Lodus + Geiss + Ludicrous speed + Aderrasi 2_1,butterchurnPresetsExtra2,
Adam Eatit Mashup FX 2 martin - disco mix + Lodus + Geiss + Ludicrous speed + Baked Ft another AdamFX Mashup 7_1,butterchurnPresetsExtra2,
Adam Shark - my magic square tunnel,presets-extra,2
AdamFX 2 Shifter & Eo.S+Phat - Fractical dancer (shattered mind)3dFX,presets-extra,2
AdamFX 2 Shifter & Eo.S+Phat - Fractical dancer (shattered mind)3dFX2,presets-extra,2
AdamFX 2 Shifter & Eo.S+Phat - Fractical dancer (shattered mind)3dFX3,presets-extra,2
AdamFX 2 Shifter & Eo.S+Phat - Fractical dancer (shattered mind)3dFX4,presets-extra,2
AdamFX 2 Tokyo corridor (shifter tumbling cubes remix),presets-extra,2
AdamFX 2 Tokyo corridor (shifter tumbling cubes remix)2,presets-extra,2
AdamFX Mashup 2 Martin - reflections on black tile + Raron N Flexi ,butterchurnPresetsExtra,
AdamFx 2 Aderrasi - Airhandler (Last Breath - Calm)Ilusional Discontent2,butterchurnPresetsExtra2,
AdamFx 2 Geiss -Somewhat Distort Me 3_1,butterchurnPresetsExtra2,
"AdamFx 2 Geiss, Zylot and Flexi - Reaction Diffusion 3 (Overload Mix 2) EATIT4 (BCCNJ4)",butterchurnPresetsExtra2,
Aderraak,presets-extra,2
Aderrasi ,presets-extra,2
Aderrasi + Geiss - Airhandler (Kali Mix) - Canvas Mix,butterchurnPresets,
